event,date,venue,round,match,team,fan_vote_count,judge,category,score,total_fan_votes
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Projection/Communication,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Arturo Lyons,Stamina,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Choreography Complexity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Staging,7.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Musicality,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Creativity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Stylistic Athleticism,7.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Cleanliness,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Technical Execution + Authenticity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Spacing,7.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Projection/Communication,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Arturo Lyons,Stamina,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Choreography Complexity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Staging,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Musicality,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Creativity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Stylistic Athleticism,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Cleanliness,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Technical Execution + Authenticity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Spacing,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Projection/Communication,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Chonique Sneed,Stamina,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Choreography Complexity,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Staging,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Musicality,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Creativity,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Stylistic Athleticism,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Cleanliness,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Technical Execution + Authenticity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Spacing,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Projection/Communication,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Chonique Sneed,Stamina,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Choreography Complexity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Staging,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Musicality,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Creativity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Stylistic Athleticism,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Cleanliness,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Technical Execution + Authenticity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Spacing,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Projection/Communication,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,Jamal Sims,Stamina,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Choreography Complexity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Staging,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Musicality,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Creativity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Stylistic Athleticism,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Cleanliness,10.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Technical Execution + Authenticity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Spacing,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Projection/Communication,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,Jamal Sims,Stamina,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Choreography Complexity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Staging,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Musicality,8.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Creativity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Stylistic Athleticism,7.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Cleanliness,7.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Technical Execution + Authenticity,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Spacing,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Projection/Communication,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,GRV,676,LaTasha Barnes,Stamina,9.0,1649
New York,2026-05-02,Hammerstein Ballroom,1,1,QUICK STYLE,973,LaTasha Barnes,Choreography Complexity,9.0,1649
